time, intensity
1645341531,-81000000.0
1645341531,-73400000.0
1645341531,-64100000.0
1645341531,-54000000.0
1645341531,-44400000.0
1645341531,-34700000.0
1645341531,-25900000.0
1645341531,-16700000.0
1645341531,-8300000.0
1645341532,-500000.0
1645341532,100000.0
1645341532,100000.0
1645341532,100000.0
1645341532,100000.0
1645341532,100000.0
1645341532,100000.0
1645341532,100000.0
1645341532,100000.0
1645341532,100000.0
1645341533,100000.0
1645341533,100000.0
1645341533,100000.0
1645341533,100000.0
1645341533,100000.0
1645341533,100000.0
1645341533,100000.0
1645341533,100000.0
1645341533,100000.0
1645341533,-1300000.0
1645341534,-3300000.0
1645341534,-7000000.0
1645341534,-11100000.0
1645341534,-15900000.0
1645341534,-19900000.0
1645341534,-25600000.0
1645341534,-31800000.0
1645341534,-38500000.0
1645341534,-46200000.0
1645341535,-53200000.0
1645341535,-60500000.0
1645341535,-67900000.0
1645341535,-73600000.0
1645341535,-82000000.0
1645341535,-92000000.0
1645341535,-100600000.0
1645341535,-102200000.0
1645341535,-102200000.0
1645341535,-102200000.0
1645341536,-102200000.0
1645341536,-102200000.0
1645341536,-102200000.0
1645341536,-102200000.0
1645341536,-102200000.0
1645341536,-102200000.0
1645341536,-102200000.0
1645341536,-101400000.0
1645341536,-96300000.0
1645341536,-90800000.0
1645341537,-83600000.0
1645341537,-76500000.0
1645341537,-67700000.0
1645341537,-58400000.0
1645341537,-48000000.0
1645341537,-38100000.0
1645341537,-26600000.0
1645341537,-18100000.0
1645341537,-8300000.0
1645341537,-900000.0
1645341538,100000.0
1645341538,100000.0
1645341538,100000.0
1645341538,100000.0
1645341538,100000.0
1645341538,100000.0
1645341538,100000.0
1645341538,100000.0
1645341538,100000.0
1645341538,100000.0
1645341539,100000.0
1645341539,100000.0
1645341539,100000.0
1645341539,100000.0
1645341539,100000.0
1645341539,100000.0
1645341539,100000.0
1645341539,100000.0
1645341539,100000.0
1645341539,-1200000.0
1645341540,-3500000.0
1645341540,-7500000.0
1645341540,-12200000.0
1645341540,-17400000.0
1645341540,-22400000.0
1645341540,-28000000.0
1645341540,-35300000.0
1645341540,-42600000.0
1645341540,-50300000.0
1645341540,-57900000.0
1645341541,-66100000.0
1645341541,-74000000.0
1645341541,-82000000.0
1645341541,-91300000.0
1645341541,-101500000.0
1645341541,-102200000.0
1645341541,-102200000.0
1645341541,-102200000.0
1645341541,-102200000.0
1645341541,-102200000.0
1645341542,-102200000.0
1645341542,-102200000.0
1645341542,-102200000.0
1645341542,-102200000.0
1645341542,-102200000.0
1645341542,-102200000.0
1645341542,-100700000.0
1645341542,-94900000.0
1645341542,-89200000.0
1645341542,-82200000.0
1645341543,-75000000.0
1645341543,-65700000.0
1645341543,-56100000.0
1645341543,-45400000.0
1645341543,-35300000.0
1645341543,-25200000.0
1645341543,-15800000.0
1645341543,-6200000.0
1645341543,100000.0
1645341543,100000.0
1645341544,100000.0
1645341544,100000.0
1645341544,100000.0
1645341544,100000.0
1645341544,100000.0
1645341544,100000.0
1645341544,100000.0
1645341544,100000.0
1645341544,100000.0
1645341544,100000.0
1645341545,100000.0
1645341545,100000.0
1645341545,100000.0
1645341545,100000.0
1645341545,100000.0
1645341545,100000.0
1645341545,100000.0
1645341545,-700000.0
1645341545,-2800000.0
1645341545,-5600000.0
1645341546,-9700000.0
1645341546,-14400000.0
1645341546,-19400000.0
1645341546,-25100000.0
1645341546,-31800000.0
1645341546,-39400000.0
1645341546,-46500000.0
1645341546,-55000000.0
1645341546,-62400000.0
1645341546,-70100000.0
1645341547,-78600000.0
1645341547,-88400000.0
1645341547,-98200000.0
1645341547,-102200000.0
1645341547,-102200000.0
1645341547,-102200000.0
1645341547,-102200000.0
1645341547,-102200000.0
1645341547,-102200000.0
1645341547,-102200000.0
1645341548,-102200000.0
1645341548,-102200000.0
1645341548,-102200000.0
1645341548,-102200000.0
1645341548,-100700000.0
1645341548,-96000000.0
1645341548,-89900000.0
1645341548,-82600000.0
1645341548,-74400000.0
1645341548,-66000000.0
1645341549,-57600000.0
1645341549,-48500000.0
1645341549,-37400000.0
1645341549,-27500000.0
1645341549,-17400000.0
1645341549,-8200000.0
1645341549,100000.0
1645341549,100000.0
1645341549,100000.0
1645341549,100000.0
1645341550,100000.0
1645341550,100000.0
1645341550,100000.0
1645341550,100000.0
1645341550,100000.0
1645341550,100000.0
1645341550,100000.0
1645341550,100000.0
1645341550,100000.0
1645341550,100000.0
1645341551,100000.0
1645341551,100000.0
1645341551,100000.0
1645341551,100000.0
1645341551,100000.0
1645341551,-400000.0
1645341551,-2500000.0
1645341551,-5600000.0
1645341551,-9700000.0
1645341551,-14000000.0
1645341552,-19300000.0
1645341552,-24700000.0
1645341552,-31900000.0
1645341552,-38400000.0
1645341552,-46600000.0
1645341552,-53700000.0
1645341552,-62200000.0
1645341552,-67200000.0
1645341552,-75900000.0
1645341552,-84800000.0
1645341553,-94800000.0
1645341553,-102200000.0
1645341553,-102200000.0
1645341553,-102200000.0
1645341553,-102200000.0
1645341553,-102200000.0
1645341553,-102200000.0
1645341553,-102200000.0
1645341553,-102200000.0
1645341553,-102200000.0
1645341554,-102200000.0
1645341554,-102200000.0
1645341554,-100600000.0
1645341554,-96500000.0
1645341554,-90000000.0
1645341554,-85400000.0
1645341554,-77600000.0
1645341554,-68700000.0
1645341554,-58800000.0
1645341554,-48100000.0
1645341555,-37700000.0
1645341555,-27000000.0
1645341555,-17700000.0
1645341555,-8100000.0
1645341555,100000.0
1645341555,100000.0
1645341555,100000.0
1645341555,100000.0
1645341555,100000.0
1645341555,100000.0
1645341556,100000.0
1645341556,100000.0
1645341556,100000.0
1645341556,100000.0
1645341556,100000.0
1645341556,100000.0
1645341556,100000.0
1645341556,100000.0
1645341556,100000.0
1645341556,100000.0
1645341557,100000.0
1645341557,100000.0
1645341557,100000.0
1645341557,-300000.0
1645341557,-2500000.0
1645341557,-5700000.0
1645341557,-9500000.0
1645341557,-14300000.0
1645341557,-19500000.0
1645341558,-25400000.0
1645341558,-32000000.0
1645341558,-39200000.0
1645341558,-46100000.0
1645341558,-54700000.0
1645341558,-62400000.0
1645341558,-70200000.0
1645341558,-78700000.0
1645341558,-87900000.0
1645341558,-97800000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341559,-102200000.0
1645341560,-102200000.0
1645341560,-100700000.0
1645341560,-93000000.0
1645341560,-91300000.0
1645341560,-86500000.0
1645341560,-79200000.0
1645341560,-71300000.0
1645341560,-62700000.0
1645341560,-52300000.0
1645341560,-41600000.0
1645341561,-32300000.0
1645341561,-22800000.0
1645341561,-10500000.0
1645341561,-500000.0
1645341561,100000.0
1645341561,100000.0
1645341561,100000.0
1645341561,100000.0
1645341561,100000.0
1645341561,100000.0
1645341562,100000.0
1645341562,100000.0
1645341562,100000.0
1645341562,100000.0
1645341562,100000.0
1645341562,100000.0
1645341562,100000.0
1645341562,100000.0
1645341562,100000.0
1645341562,100000.0
1645341563,100000.0
1645341563,100000.0
1645341563,-1700000.0
1645341563,-4500000.0
1645341563,-7600000.0
1645341563,-11400000.0
1645341563,-16400000.0
1645341563,-22000000.0
1645341563,-27500000.0
1645341563,-34000000.0
1645341564,-41100000.0
1645341564,-48600000.0
1645341564,-55800000.0
1645341564,-62400000.0
1645341564,-69400000.0
1645341564,-77400000.0
1645341564,-86200000.0
1645341564,-96400000.0
1645341564,-102200000.0
1645341564,-102200000.0
1645341565,-102200000.0
1645341565,-102200000.0
1645341565,-102200000.0
1645341565,-102200000.0
1645341565,-102200000.0
1645341565,-102200000.0
1645341565,-102200000.0
1645341565,-102200000.0
1645341565,-102200000.0
1645341565,-98400000.0
1645341566,-93000000.0
1645341566,-86300000.0
1645341566,-78500000.0
1645341566,-70600000.0
1645341566,-60400000.0
1645341566,-50700000.0
1645341566,-40600000.0
1645341566,-31000000.0
1645341566,-23300000.0
1645341566,-13700000.0
1645341567,-2000000.0
1645341567,100000.0
1645341567,100000.0
1645341567,100000.0
1645341567,100000.0
1645341567,100000.0
1645341567,100000.0
1645341567,100000.0
1645341567,100000.0
1645341567,100000.0
1645341568,100000.0
1645341568,100000.0
1645341568,100000.0
1645341568,100000.0
1645341568,100000.0
1645341568,100000.0
1645341568,100000.0
1645341568,100000.0
1645341568,100000.0
1645341568,-900000.0
1645341569,-3100000.0
1645341569,-6300000.0
1645341569,-9900000.0
1645341569,-14700000.0
1645341569,-20000000.0
1645341569,-25300000.0
1645341569,-32100000.0
1645341569,-39000000.0
1645341569,-47100000.0
1645341569,-54600000.0
1645341570,-62700000.0
1645341570,-70500000.0
1645341570,-79700000.0
1645341570,-85900000.0
1645341570,-99100000.0
1645341570,-102200000.0
1645341570,-102200000.0
1645341570,-102200000.0
1645341570,-102200000.0
1645341570,-102200000.0
1645341571,-102200000.0
1645341571,-102200000.0
1645341571,-102200000.0
1645341571,-102200000.0
1645341571,-102200000.0
1645341571,-102200000.0
1645341571,-100200000.0
1645341571,-94900000.0
1645341571,-88900000.0
1645341571,-81400000.0
1645341572,-73800000.0
1645341572,-64200000.0
1645341572,-54500000.0
1645341572,-43700000.0
1645341572,-33900000.0
1645341572,-23300000.0
1645341572,-12900000.0
1645341572,-2900000.0
1645341572,100000.0
1645341572,100000.0
1645341573,100000.0
1645341573,100000.0
1645341573,100000.0
1645341573,100000.0
1645341573,100000.0
1645341573,100000.0
1645341573,100000.0
1645341573,100000.0
1645341573,100000.0
1645341573,100000.0
1645341574,100000.0
1645341574,100000.0
1645341574,100000.0
1645341574,100000.0
1645341574,100000.0
1645341574,100000.0
1645341574,100000.0
1645341574,-1100000.0
1645341574,-3500000.0
1645341574,-6700000.0
1645341575,-10100000.0
1645341575,-15300000.0
1645341575,-20400000.0
1645341575,-26400000.0
1645341575,-32200000.0
1645341575,-39400000.0
1645341575,-46100000.0
1645341575,-54200000.0
1645341575,-61200000.0
